incident_id,date,location_id,category,description,status,customer_id,satisfaction_score,reporter_id
BRS-000067,2024-01-28,COL-08,CALIDAD_ALIMENTO,Porción servida menor a la estándar del menú,CERRADO,CLI-879779,3,MGR-05
BRS-000068,2024-01-21,COL-05,EQUIPAMIENTO,Lavaplatos industrial con fuga de agua detectada,ABIERTO,CLI-980660,,MGR-08
BRS-000069,2024-01-15,COL-02,CALIDAD_ALIMENTO,Guarnición servida sin cocción completa,ABIERTO,CLI-387936,,MGR-05
BRS-000070,2024-01-11,COL-06,QUEJA_CLIENTE,Queja por trato irrespetuoso del personal de sala,ABIERTO,,,MGR-03
BRS-000071,2024-01-13,FLA-02,QUEJA_CLIENTE,Cliente reporta error en la cuenta cobrada,ABIERTO,,,MGR-04
BRS-000072,2024-01-14,COL-06,PERSONAL,Empleado no siguió protocolo de uniformidad,ABIERTO,,,MGR-08
BRS-000073,2024-01-27,COL-07,ABASTECIMIENTO,"Bajo stock de carbón para parrillas, pedido urgente enviado",DESCARTADO,CLI-316881,,MGR-01
BRS-000074,2024-01-19,COL-07,PERSONAL,Queja de cliente sobre comportamiento de mesero,CERRADO,CLI-902784,2,MGR-01
BRS-000075,2024-01-25,COL-07,ABASTECIMIENTO,Retraso en entrega de insumos de limpieza,DESCARTADO,CLI-413118,,MGR-07
BRS-000076,2024-01-18,FLA-03,PERSONAL,Empleado no siguió protocolo de uniformidad,ABIERTO,CLI-870319,,MGR-04
BRS-000077,2024-01-14,COL-08,QUEJA_CLIENTE,Cliente insatisfecho con el tiempo de espera en mesa,CERRADO,CLI-386193,4,MGR-07
BRS-000078,2024-01-22,FLA-03,CALIDAD_ALIMENTO,Porción servida menor a la estándar del menú,CERRADO,,4,MGR-03
BRS-000079,2024-01-15,FLA-02,EQUIPAMIENTO,,ABIERTO,,,MGR-07
BRS-000080,2024-01-20,COL-09,PERSONAL,Empleado llegó tarde al turno de apertura,CERRADO,CLI-233827,4,MGR-07
BRS-000081,2024-01-01,COL-02,ABASTECIMIENTO,Faltante de bebidas importadas en carta,CERRADO,CLI-795205,4,MGR-07
BRS-000082,2024-01-15,COL-03,EQUIPAMIENTO,Falla en la parrilla principal de cocina,CERRADO,,5,MGR-05
BRS-000083,2024-01-15,COL-06,QUEJA_CLIENTE,Cliente informa que su pedido tardó más de 40 minutos,DESCARTADO,CLI-321941,,MGR-07
BRS-000084,2024-01-31,FLA-04,CALIDAD_ALIMENTO,Porción servida menor a la estándar del menú,CERRADO,,5,MGR-05
BRS-000085,2024-01-01,FLA-02,PERSONAL,Empleado no siguió protocolo de uniformidad,CERRADO,CLI-593152,4,MGR-01
BRS-000086,2024-01-19,COL-07,CALIDAD_ALIMENTO,Revisión de temperatura completada sin novedad,CERRADO,,,MGR-02
BRS-000087,2024-01-08,FLA-01,QUEJA_CLIENTE,Queja por trato irrespetuoso del personal de sala,ABIERTO,CLI-466960,,MGR-01
BRS-000088,2024-01-07,FLA-04,ABASTECIMIENTO,Falta de carne de res para cortes del menú principal,ABIERTO,CLI-359295,,MGR-03
BRS-000089,2024-01-16,FLA-01,CALIDAD_ALIMENTO,Carne servida en término incorrecto según pedido,CERRADO,,3,MGR-04
BRS-000090,2024-01-25,COL-06,QUEJA_CLIENTE,Cliente reporta error en la cuenta cobrada,ABIERTO,CLI-368690,,MGR-02
BRS-000091,2024-01-31,COL-05,CALIDAD_ALIMENTO,Carne servida en término incorrecto según pedido,CERRADO,CLI-271720,3,MGR-01
BRS-000092,2024-01-22,COL-07,CALIDAD_ALIMENTO,Porción servida menor a la estándar del menú,DESCARTADO,CLI-703766,,MGR-04
BRS-000093,2024-01-23,FLA-04,QUEJA_CLIENTE,Solicitud de devolución por pedido incorrecto entregado,CERRADO,,5,MGR-02
BRS-000094,2024-01-28,FLA-01,QUEJA_CLIENTE,Queja por trato irrespetuoso del personal de sala,CERRADO,CLI-416232,5,MGR-01
BRS-000095,2024-01-14,FLA-01,QUEJA_CLIENTE,Cliente informa que su pedido tardó más de 40 minutos,DESCARTADO,,,MGR-02
BRS-000096,2024-01-01,FLA-04,EQUIPAMIENTO,Extractor de humos con funcionamiento deficiente,DESCARTADO,CLI-457806,,MGR-08
BRS-000097,2024-01-31,COL-06,EQUIPAMIENTO,Sistema de música del local apagado sin respuesta,CERRADO,,4,MGR-08
BRS-000098,2024-01-06,FLA-02,QUEJA_CLIENTE,Queja por temperatura inadecuada del local,DESCARTADO,CLI-556641,,MGR-08
BRS-000099,2024-01-24,COL-10,QUEJA_CLIENTE,Queja por temperatura inadecuada del local,CERRADO,CLI-965845,3,MGR-06
BRS-000100,2024-01-30,COL-02,CALIDAD_ALIMENTO,Salsa de la casa con sabor diferente al habitual,ABIERTO,CLI-971084,,MGR-08
